sd_in,sd_ex,N 1,N 2
0.01,0.01,703.1600000000001,1296.12
0.01,0.03333333333333333,716.399,1282.94
0.01,0.056666666666666664,718.702,1280.6399999999999
0.01,0.07999999999999999,719.6590000000001,1279.69
0.01,0.10333333333333332,720.184,1279.17
0.01,0.12666666666666665,720.514,1278.84
0.01,0.15,720.7420000000001,1278.6100000000001
0.01,0.17333333333333334,720.9090000000001,1278.45
0.01,0.19666666666666666,721.0360000000001,1278.32
0.01,0.22,721.1360000000001,1278.22
0.03333333333333333,0.01,719.6769999999999,1276.99
0.03333333333333333,0.03333333333333333,732.123,1264.6
0.03333333333333333,0.056666666666666664,734.288,1262.44
0.03333333333333333,0.07999999999999999,735.188,1261.55
0.03333333333333333,0.10333333333333332,735.681,1261.06
0.03333333333333333,0.12666666666666665,735.992,1260.75
0.03333333333333333,0.15,736.2059999999999,1260.54
0.03333333333333333,0.17333333333333334,736.363,1260.3799999999999
0.03333333333333333,0.19666666666666666,736.482,1260.26
0.03333333333333333,0.22,736.576,1260.17
0.056666666666666664,0.01,1120.01,876.365
0.056666666666666664,0.03333333333333333,1114.61,881.8219999999999
0.056666666666666664,0.056666666666666664,1113.67,882.7719999999999
0.056666666666666664,0.07999999999999999,1113.28,883.1659999999999
0.056666666666666664,0.10333333333333332,1113.06,883.3820000000001
0.056666666666666664,0.12666666666666665,1112.93,883.519
0.056666666666666664,0.15,1112.8400000000001,883.612
0.056666666666666664,0.17333333333333334,1112.77,883.681
0.056666666666666664,0.19666666666666666,1112.72,883.733
0.056666666666666664,0.22,1112.68,883.775
0.07999999999999999,0.01,1339.03,657.781
0.07999999999999999,0.03333333333333333,1323.88,672.988
0.07999999999999999,0.056666666666666664,1321.24,675.634
0.07999999999999999,0.07999999999999999,1320.1499999999999,676.733
0.07999999999999999,0.10333333333333332,1319.5500000000002,677.336
0.07999999999999999,0.12666666666666665,1319.17,677.7160000000001
0.07999999999999999,0.15,1318.9099999999999,677.9770000000001
0.07999999999999999,0.17333333333333334,1318.7200000000003,678.168
0.07999999999999999,0.19666666666666666,1318.57,678.3140000000001
0.07999999999999999,0.22,1318.46,678.429
0.10333333333333332,0.01,1413.44,583.901
0.10333333333333332,0.03333333333333333,1394.99,602.412
0.10333333333333332,0.056666666666666664,1391.78,605.633
0.10333333333333332,0.07999999999999999,1390.44,606.972
0.10333333333333332,0.10333333333333332,1389.71,607.7040000000001
0.10333333333333332,0.12666666666666665,1389.25,608.1669999999999
0.10333333333333332,0.15,1388.93,608.485
0.10333333333333332,0.17333333333333334,1388.7,608.718
0.10333333333333332,0.19666666666666666,1388.52,608.896
0.10333333333333332,0.22,1388.3899999999999,609.035
0.12666666666666665,0.01,1422.67,575.151
0.12666666666666665,0.03333333333333333,1403.81,594.062
0.12666666666666665,0.056666666666666664,1400.53,597.3530000000001
0.12666666666666665,0.07999999999999999,1399.17,598.72
0.12666666666666665,0.10333333333333332,1398.42,599.469
0.12666666666666665,0.12666666666666665,1397.9499999999998,599.941
0.12666666666666665,0.15,1397.63,600.2669999999999
0.12666666666666665,0.17333333333333334,1397.39,600.504
0.12666666666666665,0.19666666666666666,1397.21,600.686
0.12666666666666665,0.22,1397.07,600.8290000000001
0.15,0.01,1406.55,591.669
0.15,0.03333333333333333,1388.42,609.852
0.15,0.056666666666666664,1385.27,613.016
0.15,0.07999999999999999,1383.9599999999998,614.331
0.15,0.10333333333333332,1383.2400000000002,615.0509999999999
0.15,0.12666666666666665,1382.79,615.505
0.15,0.15,1382.4700000000003,615.818
0.15,0.17333333333333334,1382.25,616.047
0.15,0.19666666666666666,1382.07,616.221
0.15,0.22,1381.9399999999998,616.3580000000001
0.17333333333333334,0.01,1381.96,616.583
0.17333333333333334,0.03333333333333333,1364.9299999999998,633.664
0.17333333333333334,0.056666666666666664,1361.97,636.636
0.17333333333333334,0.07999999999999999,1360.7400000000002,637.871
0.17333333333333334,0.10333333333333332,1360.0700000000002,638.547
0.17333333333333334,0.12666666666666665,1359.6399999999999,638.9739999999999
0.17333333333333334,0.15,1359.35,639.268
0.17333333333333334,0.17333333333333334,1359.13,639.4830000000001
0.17333333333333334,0.19666666666666666,1358.9699999999998,639.646
0.17333333333333334,0.22,1358.84,639.775
0.19666666666666666,0.01,1355.77,643.038
0.19666666666666666,0.03333333333333333,1339.9199999999998,658.9459999999999
0.19666666666666666,0.056666666666666664,1337.16,661.713
0.19666666666666666,0.07999999999999999,1336.01,662.864
0.19666666666666666,0.10333333333333332,1335.3899999999999,663.4929999999999
0.19666666666666666,0.12666666666666665,1334.99,663.891
0.19666666666666666,0.15,1334.72,664.165
0.19666666666666666,0.17333333333333334,1334.52,664.365
0.19666666666666666,0.19666666666666666,1334.3700000000001,664.517
0.19666666666666666,0.22,1334.25,664.6370000000001
0.22,0.01,1330.68,668.3530000000001
0.22,0.03333333333333333,1315.95,683.137
0.22,0.056666666666666664,1313.3899999999999,685.709
0.22,0.07999999999999999,1312.32,686.779
0.22,0.10333333333333332,1311.74,687.364
0.22,0.12666666666666665,1311.37,687.7330000000001
0.22,0.15,1311.12,687.988
0.22,0.17333333333333334,1310.9299999999998,688.1740000000001
0.22,0.19666666666666666,1310.79,688.315
0.22,0.22,1310.68,688.4269999999999
