sd_m_2,d12,N 1,N 2
0.01,0.0001,0.0019746,1997.7
0.01,0.00036666666666666667,0.00262539,1997.7
0.01,0.0006333333333333334,0.00379543,1997.7
0.01,0.0009000000000000001,0.00848678,1997.7
0.01,0.0011666666666666668,0,1998.02
0.01,0.0014333333333333336,0,1998.8999999999999
0.01,0.0017000000000000001,0,1999.3600000000001
0.01,0.0019666666666666665,0,1999.7399999999998
0.01,0.0022333333333333333,0,2000.09
0.01,0.0025,0,2000.43
0.03666666666666667,0.0001,1.49027,1994.95
0.03666666666666667,0.00036666666666666667,2.62739,1994.1399999999999
0.03666666666666667,0.0006333333333333334,5.40725,1991.68
0.03666666666666667,0.0009000000000000001,22.646099999999997,1974.7399999999998
0.03666666666666667,0.0011666666666666668,0,2013.86
0.03666666666666667,0.0014333333333333336,0,2004.95
0.03666666666666667,0.0017000000000000001,0,2003.1
0.03666666666666667,0.0019666666666666665,0,2002.45
0.03666666666666667,0.0022333333333333333,0,2002.21
0.03666666666666667,0.0025,0,2002.17
0.06333333333333332,0.0001,0.995525,1995.4499999999998
0.06333333333333332,0.00036666666666666667,1.92383,1994.8400000000001
0.06333333333333332,0.0006333333333333334,4.19396,1992.8999999999999
0.06333333333333332,0.0009000000000000001,18.2726,1979.1200000000001
0.06333333333333332,0.0011666666666666668,0,2011.13
0.06333333333333332,0.0014333333333333336,0,2003.9099999999999
0.06333333333333332,0.0017000000000000001,0,2002.46
0.06333333333333332,0.0019666666666666665,0,2001.98
0.06333333333333332,0.0022333333333333333,0,2001.85
0.06333333333333332,0.0025,0,2001.8700000000001
0.08999999999999998,0.0001,0.147501,1996.3200000000002
0.08999999999999998,0.00036666666666666667,0.685619,1996.0900000000001
0.08999999999999998,0.0006333333333333334,2.05401,1995.04
0.08999999999999998,0.0009000000000000001,10.5566,1986.85
0.08999999999999998,0.0011666666666666668,0,2006.31
0.08999999999999998,0.0014333333333333336,0,2002.08
0.08999999999999998,0.0017000000000000001,0,2001.3200000000002
0.08999999999999998,0.0019666666666666665,0,2001.16
0.08999999999999998,0.0022333333333333333,0,2001.2
0.08999999999999998,0.0025,0,2001.34
0.11666666666666665,0.0001,0.00714272,1996.97
0.11666666666666665,0.00036666666666666667,0.0156427,1996.97
0.11666666666666665,0.0006333333333333334,0.352421,1996.75
0.11666666666666665,0.0009000000000000001,4.36049,1993.0500000000002
0.11666666666666665,0.0011666666666666668,0,2002.44
0.11666666666666665,0.0014333333333333336,0,2000.6
0.11666666666666665,0.0017000000000000001,0,2000.4099999999999
0.11666666666666665,0.0019666666666666665,0,2000.5
0.11666666666666665,0.0022333333333333333,0,2000.6899999999998
0.11666666666666665,0.0025,0,2000.92
0.14333333333333334,0.0001,0.00345504,1997.44
0.14333333333333334,0.00036666666666666667,0.00437178,1997.44
0.14333333333333334,0.0006333333333333334,0.0077875,1997.44
0.14333333333333334,0.0009000000000000001,0.0740792,1997.38
0.14333333333333334,0.0011666666666666668,0,1999.5500000000002
0.14333333333333334,0.0014333333333333336,0,1999.5
0.14333333333333334,0.0017000000000000001,0,1999.73
0.14333333333333334,0.0019666666666666665,0,2000.01
0.14333333333333334,0.0022333333333333333,0,2000.3
0.14333333333333334,0.0025,0,2000.6
0.16999999999999998,0.0001,0.00230287,1997.8
0.16999999999999998,0.00036666666666666667,0.00226458,1997.8
0.16999999999999998,0.0006333333333333334,0.00342439,1997.8
0.16999999999999998,0.0009000000000000001,0.00595272,1997.79
0.16999999999999998,0.0011666666666666668,0,1997.84
0.16999999999999998,0.0014333333333333336,0,1998.6799999999998
0.16999999999999998,0.0017000000000000001,0,1999.22
0.16999999999999998,0.0019666666666666665,0,1999.6399999999999
0.16999999999999998,0.0022333333333333333,0,2000.01
0.16999999999999998,0.0025,0,2000.3600000000001
0.19666666666666666,0.0001,0.00134103,1998.07
0.19666666666666666,0.00036666666666666667,0.00183229,1998.07
0.19666666666666666,0.0006333333333333334,0.00233534,1998.07
0.19666666666666666,0.0009000000000000001,0.00301827,1998.07
0.19666666666666666,0.0011666666666666668,0,1998.08
0.19666666666666666,0.0014333333333333336,0,1998.15
0.19666666666666666,0.0017000000000000001,0,1998.8300000000002
0.19666666666666666,0.0019666666666666665,0,1999.3600000000001
0.19666666666666666,0.0022333333333333333,0,1999.7900000000002
0.19666666666666666,0.0025,0,2000.18
0.22333333333333333,0.0001,0.00123077,1998.29
0.22333333333333333,0.00036666666666666667,0.00115147,1998.29
0.22333333333333333,0.0006333333333333334,0.00150237,1998.29
0.22333333333333333,0.0009000000000000001,0.00216131,1998.28
0.22333333333333333,0.0011666666666666668,0,1998.29
0.22333333333333333,0.0014333333333333336,0,1998.3000000000002
0.22333333333333333,0.0017000000000000001,0,1998.5400000000002
0.22333333333333333,0.0019666666666666665,0,1999.1399999999999
0.22333333333333333,0.0022333333333333333,0,1999.62
0.22333333333333333,0.0025,0,2000.04
0.25,0.0001,0.0009629160000000001,1998.46
0.25,0.00036666666666666667,0.00104845,1998.46
0.25,0.0006333333333333334,0.0012585799999999998,1998.46
0.25,0.0009000000000000001,0.00171361,1998.46
0.25,0.0011666666666666668,0,1998.46
0.25,0.0014333333333333336,0,1998.47
0.25,0.0017000000000000001,0,1998.4899999999998
0.25,0.0019666666666666665,0,1998.9599999999998
0.25,0.0022333333333333333,0,1999.48
0.25,0.0025,0,1999.9199999999998
