sd_m_2,d12,N 1,N 2,time1,time2
0.01,"1,00E-04",0,1737.75,850000,"2,00E+08"
0.01,"3,00E-04",0,1729,1645000,"2,00E+08"
0.01,"5,00E-04",935,1014.5,"2,00E+08","2,00E+08"
0.01,"7,00E-04",1888.25,0,"2,00E+08",1430000
0.01,"9,00E-04",1904,0,"2,00E+08",615000
0.01,0.0011,1893.25,0,"2,00E+08",390000
0.01,0.0013,1905.5,0,"2,00E+08",370000
0.01,0.0015,1958.5,0,"2,00E+08",215000
0.01,0.0017,1934.5,0,"2,00E+08",260000
0.01,0.0019,1883,0,"2,00E+08",330000
0.01,0.0021,1878.25,0,"2,00E+08",205000
0.03,"1,00E-04",0,1894.75,270000,"2,00E+08"
0.03,"3,00E-04",0,1881.5,355000,"2,00E+08"
0.03,"5,00E-04",0,1920,460000,"2,00E+08"
0.03,"7,00E-04",0,1900.75,710000,"2,00E+08"
0.03,"9,00E-04",308.5,1613.5,"2,00E+08","2,00E+08"
0.03,0.0011,1902.75,0,"2,00E+08",970000
0.03,0.0013,1883,0,"2,00E+08",790000
0.03,0.0015,1932,0,"2,00E+08",340000
0.03,0.0017,1964.25,0,"2,00E+08",310000
0.03,0.0019,1921,0,"2,00E+08",330000
0.03,0.0021,1866,0,"2,00E+08",235000
0.05,"1,00E-04",0,1912.5,230000,"2,00E+08"
0.05,"3,00E-04",0,1929.75,250000,"2,00E+08"
0.05,"5,00E-04",0,1934.25,350000,"2,00E+08"
0.05,"7,00E-04",0,1945.5,455000,"2,00E+08"
0.05,"9,00E-04",0,2007,675000,"2,00E+08"
0.05,0.0011,1388,516.25,"2,00E+08","2,00E+08"
0.05,0.0013,1811.25,96.75,"2,00E+08",50595000
0.05,0.0015,1865,0,"2,00E+08",685000
0.05,0.0017,1893.75,0,"2,00E+08",475000
0.05,0.0019,1961,0,"2,00E+08",445000
0.05,0.0021,1889.75,0,"2,00E+08",285000
0.07,"1,00E-04",0,1947.75,210000,"2,00E+08"
0.07,"3,00E-04",0,1941,320000,"2,00E+08"
0.07,"5,00E-04",0,2043.25,"3,00E+05","2,00E+08"
0.07,"7,00E-04",0,1915.25,560000,"2,00E+08"
0.07,"9,00E-04",0,1895.25,695000,"2,00E+08"
0.07,0.0011,104.25,1827.25,50485000,"2,00E+08"
0.07,0.0013,1978.75,0,"2,00E+08",1265000
0.07,0.0015,1897,0,"2,00E+08",575000
0.07,0.0017,1892,0,"2,00E+08",580000
0.07,0.0019,1996,0,"2,00E+08",465000
0.07,0.0021,1937,0,"2,00E+08",405000
0.09,"1,00E-04",0,1978.5,215000,"2,00E+08"
0.09,"3,00E-04",0,1941.75,295000,"2,00E+08"
0.09,"5,00E-04",0,1968.5,240000,"2,00E+08"
0.09,"7,00E-04",0,1962.25,450000,"2,00E+08"
0.09,"9,00E-04",0,1982.5,505000,"2,00E+08"
0.09,0.0011,114.5,1811.75,50840000,"2,00E+08"
0.09,0.0013,1174.25,741.5,"2,00E+08","2,00E+08"
0.09,0.0015,1954.5,0,"2,00E+08",610000
0.09,0.0017,1890.5,0,"2,00E+08",530000
0.09,0.0019,1898.5,0,"2,00E+08",635000
0.09,0.0021,1910.25,0,"2,00E+08",330000
0.11,"1,00E-04",0,1947.75,175000,"2,00E+08"
0.11,"3,00E-04",0,1954.25,240000,"2,00E+08"
0.11,"5,00E-04",0,2000.5,355000,"2,00E+08"
0.11,"7,00E-04",0,1952,420000,"2,00E+08"
0.11,"9,00E-04",0,1970,540000,"2,00E+08"
0.11,0.0011,0,1940.5,1355000,"2,00E+08"
0.11,0.0013,529.5,1422.25,"2,00E+08","2,00E+08"
0.11,0.0015,1923.75,26.25,"2,00E+08",51085000
0.11,0.0017,1887.75,80.25,"2,00E+08",50580000
0.11,0.0019,1944.75,0,"2,00E+08",515000
0.11,0.0021,1912.5,0,"2,00E+08",480000
0.13,"1,00E-04",0,1960.25,265000,"2,00E+08"
0.13,"3,00E-04",0,1927.5,220000,"2,00E+08"
0.13,"5,00E-04",0,1971.5,325000,"2,00E+08"
0.13,"7,00E-04",0,1941.5,315000,"2,00E+08"
0.13,"9,00E-04",0,2016.5,440000,"2,00E+08"
0.13,0.0011,0,1951,905000,"2,00E+08"
0.13,0.0013,787,1197,150305000,"2,00E+08"
0.13,0.0015,1750.25,171.75,"2,00E+08",100580000
0.13,0.0017,1915.5,0,"2,00E+08",735000
0.13,0.0019,1978.75,0,"2,00E+08","6,00E+05"
0.13,0.0021,1905.75,0,"2,00E+08",310000
0.15,"1,00E-04",0,1976.75,215000,"2,00E+08"
0.15,"3,00E-04",0,1935,290000,"2,00E+08"
0.15,"5,00E-04",0,1965.75,240000,"2,00E+08"
0.15,"7,00E-04",0,1956.25,575000,"2,00E+08"
0.15,"9,00E-04",0,1890.75,545000,"2,00E+08"
0.15,0.0011,56.75,1918.75,100470000,"2,00E+08"
0.15,0.0013,446.75,1548.25,150205000,"2,00E+08"
0.15,0.0015,1917.75,0,"2,00E+08",1340000
0.15,0.0017,1909.5,0,"2,00E+08",745000
0.15,0.0019,1973,0,"2,00E+08",680000
0.15,0.0021,1943,0,"2,00E+08",395000
0.17,"1,00E-04",0,2004.75,255000,"2,00E+08"
0.17,"3,00E-04",0,1968.75,280000,"2,00E+08"
0.17,"5,00E-04",0,1976,245000,"2,00E+08"
0.17,"7,00E-04",0,1972.25,670000,"2,00E+08"
0.17,"9,00E-04",0,1921,935000,"2,00E+08"
0.17,0.0011,41,1921.75,150135000,"2,00E+08"
0.17,0.0013,147.5,1745.5,100775000,"2,00E+08"
0.17,0.0015,1675.75,270.5,"2,00E+08",50715000
0.17,0.0017,1827.75,98.75,"2,00E+08",50595000
0.17,0.0019,1904,0,"2,00E+08",345000
0.17,0.0021,1923.75,0,"2,00E+08",320000
0.19,"1,00E-04",0,1963.5,260000,"2,00E+08"
0.19,"3,00E-04",0,1939.25,240000,"2,00E+08"
0.19,"5,00E-04",0,1946.5,"4,00E+05","2,00E+08"
0.19,"7,00E-04",0,1962.25,590000,"2,00E+08"
0.19,"9,00E-04",0,1977,710000,"2,00E+08"
0.19,0.0011,22,1948.5,50965000,"2,00E+08"
0.19,0.0013,207,1747.75,150410000,"2,00E+08"
0.19,0.0015,1409,537.75,"2,00E+08",150425000
0.19,0.0017,1958.75,0,"2,00E+08",995000
0.19,0.0019,1915,0,"2,00E+08","5,00E+05"
0.19,0.0021,1898.75,0,"2,00E+08",495000
0.21,"1,00E-04",0,1999.5,350000,"2,00E+08"
0.21,"3,00E-04",0,1919.75,330000,"2,00E+08"
